ts,area,price_eur_mwh
2025-09-29 22:00:00+00:00,DK2,100.849998
2025-09-29 23:00:00+00:00,DK2,98.18
2025-09-30 00:00:00+00:00,DK2,98.650002
2025-09-30 01:00:00+00:00,DK2,94.760002
2025-09-30 02:00:00+00:00,DK2,98.839996
2025-09-30 03:00:00+00:00,DK2,111.900002
2025-09-30 04:00:00+00:00,DK2,141.699997
2025-09-30 05:00:00+00:00,DK2,243.899994
2025-09-30 06:00:00+00:00,DK2,209.080002
2025-09-30 07:00:00+00:00,DK2,141.789993
2025-09-30 08:00:00+00:00,DK2,115.150002
2025-09-30 09:00:00+00:00,DK2,96.699997
2025-09-30 10:00:00+00:00,DK2,87.910004
2025-09-30 11:00:00+00:00,DK2,86.040001
2025-09-30 12:00:00+00:00,DK2,87.269997
2025-09-30 13:00:00+00:00,DK2,96.800003
2025-09-30 14:00:00+00:00,DK2,104.050003
2025-09-30 15:00:00+00:00,DK2,142.639999
2025-09-30 16:00:00+00:00,DK2,294.519989
2025-09-30 17:00:00+00:00,DK2,357.350006
2025-09-30 18:00:00+00:00,DK2,147.190002
2025-09-30 19:00:00+00:00,DK2,116.010002
2025-09-30 20:00:00+00:00,DK2,101.610001
2025-09-30 21:00:00+00:00,DK2,92.480003
