ts,area,price_eur_mwh
2024-07-31 22:00:00+00:00,DK1,96.449997
2024-07-31 23:00:00+00:00,DK1,92.400002
2024-08-01 00:00:00+00:00,DK1,86.849998
2024-08-01 01:00:00+00:00,DK1,84.110001
2024-08-01 02:00:00+00:00,DK1,86.099998
2024-08-01 03:00:00+00:00,DK1,99.099998
2024-08-01 04:00:00+00:00,DK1,114.220001
2024-08-01 05:00:00+00:00,DK1,106.989998
2024-08-01 06:00:00+00:00,DK1,105.949997
2024-08-01 07:00:00+00:00,DK1,90.099998
2024-08-01 08:00:00+00:00,DK1,76.949997
2024-08-01 09:00:00+00:00,DK1,67.639999
2024-08-01 10:00:00+00:00,DK1,64.029999
2024-08-01 11:00:00+00:00,DK1,60.380001
2024-08-01 12:00:00+00:00,DK1,62.130001
2024-08-01 13:00:00+00:00,DK1,70.550003
2024-08-01 14:00:00+00:00,DK1,74.239998
2024-08-01 15:00:00+00:00,DK1,93.779999
2024-08-01 16:00:00+00:00,DK1,102.599998
2024-08-01 17:00:00+00:00,DK1,112.5
2024-08-01 18:00:00+00:00,DK1,138.070007
2024-08-01 19:00:00+00:00,DK1,124.029999
2024-08-01 20:00:00+00:00,DK1,112.940002
2024-08-01 21:00:00+00:00,DK1,105.699997
2024-08-01 22:00:00+00:00,DK1,93.93
2024-08-01 23:00:00+00:00,DK1,89.169998
2024-08-02 00:00:00+00:00,DK1,88.110001
2024-08-02 01:00:00+00:00,DK1,82.970001
2024-08-02 02:00:00+00:00,DK1,86.949997
2024-08-02 03:00:00+00:00,DK1,94.440002
2024-08-02 04:00:00+00:00,DK1,109.510002
2024-08-02 05:00:00+00:00,DK1,119.790001
2024-08-02 06:00:00+00:00,DK1,113.190002
2024-08-02 07:00:00+00:00,DK1,104.419998
2024-08-02 08:00:00+00:00,DK1,91.68
2024-08-02 09:00:00+00:00,DK1,77.690002
2024-08-02 10:00:00+00:00,DK1,73.580002
2024-08-02 11:00:00+00:00,DK1,61.939999
2024-08-02 12:00:00+00:00,DK1,53.439999
2024-08-02 13:00:00+00:00,DK1,50.580002
2024-08-02 14:00:00+00:00,DK1,65.419998
2024-08-02 15:00:00+00:00,DK1,77.690002
2024-08-02 16:00:00+00:00,DK1,99.900002
2024-08-02 17:00:00+00:00,DK1,128.490005
2024-08-02 18:00:00+00:00,DK1,146.190002
2024-08-02 19:00:00+00:00,DK1,121.660004
2024-08-02 20:00:00+00:00,DK1,114.419998
2024-08-02 21:00:00+00:00,DK1,99.010002
2024-08-02 22:00:00+00:00,DK1,102.650002
