ts,co2_g_per_kwh
2025-12-02 13:00:00+00:00,48.416666666666664
2025-12-02 14:00:00+00:00,55.666666666666664
2025-12-02 15:00:00+00:00,79.83333333333333
2025-12-02 16:00:00+00:00,95.91666666666667
2025-12-02 17:00:00+00:00,104.91666666666667
2025-12-02 18:00:00+00:00,108.41666666666667
2025-12-02 19:00:00+00:00,115.41666666666667
2025-12-02 20:00:00+00:00,127.25
2025-12-02 21:00:00+00:00,145.66666666666666
2025-12-02 22:00:00+00:00,137.41666666666666
2025-12-02 23:00:00+00:00,125.58333333333333
2025-12-03 00:00:00+00:00,138.83333333333334
2025-12-03 01:00:00+00:00,142.41666666666666
2025-12-03 02:00:00+00:00,152.75
2025-12-03 03:00:00+00:00,149.75
2025-12-03 04:00:00+00:00,150.75
2025-12-03 05:00:00+00:00,153.91666666666666
2025-12-03 06:00:00+00:00,163.66666666666666
2025-12-03 07:00:00+00:00,175.58333333333334
2025-12-03 08:00:00+00:00,171.75
2025-12-03 09:00:00+00:00,169.83333333333334
2025-12-03 10:00:00+00:00,177.91666666666666
2025-12-03 11:00:00+00:00,163.16666666666666
2025-12-03 12:00:00+00:00,163.41666666666666
2025-12-03 13:00:00+00:00,163.16666666666666
2025-12-03 14:00:00+00:00,162.25
2025-12-03 15:00:00+00:00,162.41666666666666
2025-12-03 16:00:00+00:00,165.25
2025-12-03 17:00:00+00:00,167.08333333333334
2025-12-03 18:00:00+00:00,165.25
2025-12-03 19:00:00+00:00,161.41666666666666
2025-12-03 20:00:00+00:00,176.33333333333334
2025-12-03 21:00:00+00:00,172.33333333333334
2025-12-03 22:00:00+00:00,171.08333333333334
2025-12-03 23:00:00+00:00,156.83333333333334
2025-12-04 00:00:00+00:00,152.75
2025-12-04 01:00:00+00:00,152.75
2025-12-04 02:00:00+00:00,150.25
2025-12-04 03:00:00+00:00,144.66666666666666
2025-12-04 04:00:00+00:00,149.41666666666666
2025-12-04 05:00:00+00:00,151.33333333333334
2025-12-04 06:00:00+00:00,154.58333333333334
2025-12-04 07:00:00+00:00,170.0
2025-12-04 08:00:00+00:00,168.41666666666666
2025-12-04 09:00:00+00:00,170.58333333333334
2025-12-04 10:00:00+00:00,169.08333333333334
2025-12-04 11:00:00+00:00,170.75
2025-12-04 12:00:00+00:00,171.58333333333334
2025-12-04 13:00:00+00:00,174.33333333333334
2025-12-04 14:00:00+00:00,180.25
2025-12-04 15:00:00+00:00,183.2
